,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 11:59:39.525,242.2493,0.0066,1,6,0,0,0,-1.11417,3.72885,-4.154572805,3.92066e-11,1.88653e-07,1.52204e-10,7.29757e-07,,-0.01304293,,,,,,,25.35182358,-0.00451982
1,11,	03/23/2024 11:59:40.022,242.7471,0.5044,1,6,0,0,0,-0.7190485,3.780471,-2.718342002,3.92066e-11,0.000156598,1.52204e-10,0.000583365,,0.139324695,,0.000191401,5224.629883,,,,25.38304,-0.00451982
2,12,	03/23/2024 11:59:40.522,243.2462,1.0035,1,6,0,0,0,-0.4557905,3.81647,-1.73951077,3.92066e-11,0.000256056,1.52204e-10,0.000959436,,,,,,,,,25.38303566,0.010672744
3,13,	03/23/2024 11:59:41.025,243.7494,1.5067,1,6,0,0,0,-0.2861109,3.840643,-1.098849825,3.92066e-11,0.000319711,1.52204e-10,0.00120244,,0.048028581,,-0.00278528,-359.030304,,,,25.38304,0.01067579
4,14,	03/23/2024 11:59:41.524,244.2486,2.0059,1,6,0,0,0,-0.1782188,3.855117,-0.687054326,3.92066e-11,0.000359272,1.52204e-10,0.00135439,,,,,,,,,25.38303566,0.010675788
5,15,	03/23/2024 11:59:42.028,244.7527,2.51,1,6,0,0,0,-0.1092997,3.865531,-0.422501379,3.92066e-11,0.000384059,1.52204e-10,0.001449971,,0.020662939,,-0.002453021,-362.9552917,,,,25.38304,0.01067579
6,16,	03/23/2024 11:59:43.035,245.7598,3.5171,1,6,0,0,0,-0.03873634,3.875587,-0.150126056,3.92066e-11,0.000408388,1.52204e-10,0.001544069,,0.003942058,,-0.002084527,-422.2202148,,,,25.39749383,0.004519239
7,17,	03/23/2024 11:59:53.035,255.7599,13.5172,1,6,0,0,0,-0.02489948,3.877722,-0.096553261,3.92066e-11,0.000444628,1.52204e-10,0.001684621,,0.002451625,,-0.002848368,-416.6499939,,,,25.34645132,0.002995745
8,18,	03/23/2024 12:00:03.036,265.7608,23.5181,1,6,0,0,0,-0.05003548,3.874297,-0.19385231,3.92066e-11,0.000549648,1.52204e-10,0.002091645,,-0.000544803,,0.02532373,,,,,25.35114,0.001997352
9,19,	03/23/2024 12:00:13.036,275.7609,33.5182,1,6,0,0,0,-0.06704426,3.871649,-0.259571842,3.92066e-11,0.000712911,1.52204e-10,0.002723931,,-0.000166119,,,,,,,25.40126941,0.003468976
10,20,	03/23/2024 12:00:23.038,285.7625,43.5198,1,6,0,0,0,-0.07889938,3.869972,-0.305338391,3.92066e-11,0.000915811,1.52204e-10,0.003509279,,-0.000222032,,,,,,,25.40030862,-0.001582453
11,21,	03/23/2024 12:00:33.038,295.7627,53.52,1,6,0,0,0,-0.08807278,3.868488,-0.340708493,3.92066e-11,0.001147567,1.52204e-10,0.004405942,,-0.000112781,,0.091640063,,,,,25.4281,0.01191378
12,22,	03/23/2024 12:00:43.039,305.7637,63.521,1,6,0,0,0,-0.0955925,3.867192,-0.369674551,3.92066e-11,0.001402048,1.52204e-10,0.005390171,,-0.000120239,,,12.82952023,,,,25.4392,0.005224943
13,23,	03/23/2024 12:00:53.040,315.7645,73.5218,1,6,0,0,0,-0.1027651,3.866204,-0.397310841,3.92066e-11,0.001676629,1.52204e-10,0.0064518,,-3.18445e-05,,,,,,,25.42474,-0.004982352
14,24,	03/23/2024 12:01:03.041,325.7657,83.523,1,6,0,0,0,-0.1091824,3.864614,-0.421947832,3.92066e-11,0.001970253,1.52204e-10,0.007586705,,-0.000181208,,,,,,,25.4334,0.003238916
15,25,	03/23/2024 12:01:13.042,335.7665,93.5238,1,6,0,0,0,-0.1163559,3.863384,-0.449527522,3.92066e-11,0.002283214,1.52204e-10,0.00879597,,-0.000139095,,0.193987399,,,,,25.43411445,-0.017891911
16,26,	03/23/2024 12:01:23.043,345.7678,103.5251,1,6,0,0,0,-0.1242886,3.861369,-0.479924147,3.92066e-11,0.002616371,1.52204e-10,0.01008285,,-9.32373e-05,,,,,,,25.48182,0.000474453
17,27,	03/23/2024 12:01:33.044,355.7682,113.5255,1,6,0,0,0,-0.1320057,3.860688,-0.509632822,3.92066e-11,0.002971036,1.52204e-10,0.01145232,,-4.81235e-05,,,,,,,25.45065,-0.01349211
