Mini_trip,Date ,Batch,Driver,Terrain,Method,Driver Type,Channels
1,3/17/2024,1,1,1,1,1,5
2,3/17/2024,1,2,1,1,1,5
3,3/17/2024,1,3,1,1,1,5
4,3/17/2024,1,4,1,1,1,5
5,3/17/2024,1,1,2,1,1,5
6,3/17/2024,1,2,2,1,1,5
7,3/17/2024,1,3,2,1,1,5
8,3/17/2024,1,4,2,1,1,5
9,3/21/2024,1,1,3,1,1,5
10,3/21/2024,1,2,3,1,1,5
11,3/21/2024,1,3,3,1,1,5
12,3/21/2024,1,4,3,1,1,5
13,3/17/2024,2,5,1,1,1,6
14,3/17/2024,2,6,1,1,1,6
15,3/17/2024,2,7,1,1,1,6
16,3/17/2024,2,8,1,1,1,6
17,3/17/2024,2,5,2,1,1,6
18,3/17/2024,2,6,2,1,1,6
19,3/17/2024,2,7,2,1,1,6
20,3/17/2024,2,8,2,1,1,6
21,3/21/2024,2,5,3,1,1,6
22,3/21/2024,2,6,3,1,1,6
23,3/21/2024,2,7,3,1,1,6
24,3/21/2024,2,8,3,1,1,6
25,3/30/2024,3,9,1,1,2,5
26,3/30/2024,3,10,1,1,2,5
27,3/30/2024,3,11,1,1,2,5
28,3/30/2024,3,12,1,1,2,5
29,3/30/2024,3,9,2,1,2,6
30,3/30/2024,3,10,2,1,2,6
31,3/30/2024,3,11,2,1,2,6
32,3/30/2024,3,12,2,1,2,6
33,3/30/2024,3,9,3,1,2,7
34,3/30/2024,3,10,3,1,2,7
35,3/30/2024,3,11,3,1,2,7
36,3/30/2024,3,12,3,1,2,7
37,3/17/2024,4,13,1,1,2,7
38,3/17/2024,4,14,1,1,2,7
39,3/17/2024,4,15,1,1,2,7
40,3/17/2024,4,16,1,1,2,7
41,3/17/2024,4,13,2,1,2,7
42,3/17/2024,4,14,2,1,2,7
43,3/17/2024,4,15,2,1,2,7
44,3/17/2024,4,16,2,1,2,7
45,3/17/2024,4,13,3,1,2,7
46,3/17/2024,4,14,3,1,2,7
47,3/17/2024,4,15,3,1,2,7
48,3/17/2024,4,16,3,1,2,7
49,3/23/2024,1,1,1,2,1,5
50,3/23/2024,1,2,1,2,1,5
51,3/23/2024,1,3,1,2,1,5
52,3/23/2024,1,4,1,2,1,5
53,3/23/2024,1,1,2,2,1,6
54,3/23/2024,1,2,2,2,1,6
55,3/23/2024,1,3,2,2,1,6
56,3/23/2024,1,4,2,2,1,6
57,3/23/2024,1,1,3,2,1,7
58,3/23/2024,1,2,3,2,1,7
59,3/23/2024,1,3,3,2,1,7
60,3/23/2024,1,4,3,2,1,7
61,3/23/2024,2,5,1,2,1,5
62,3/23/2024,2,6,1,2,1,5
63,3/23/2024,2,7,1,2,1,5
64,3/23/2024,2,8,1,2,1,5
65,3/23/2024,2,5,2,2,1,6
66,3/23/2024,2,6,2,2,1,6
67,3/23/2024,2,7,2,2,1,6
68,3/23/2024,2,8,2,2,1,6
69,3/23/2024,2,5,3,2,1,7
70,3/23/2024,2,6,3,2,1,7
71,3/23/2024,2,7,3,2,1,7
72,3/23/2024,2,8,3,2,1,7
73,3/24/2024,3,9,1,2,2,5
74,3/24/2024,3,10,1,2,2,5
75,3/24/2024,3,11,1,2,2,5
76,3/24/2024,3,12,1,2,2,5
77,3/24/2024,3,9,2,2,2,6
78,3/24/2024,3,10,2,2,2,6
79,3/24/2024,3,11,2,2,2,6
80,3/24/2024,3,12,2,2,2,6
81,3/24/2024,3,9,3,2,2,7
82,3/24/2024,3,10,3,2,2,7
83,3/24/2024,3,11,3,2,2,7
84,3/24/2024,3,12,3,2,2,7
85,3/25/2024,4,13,1,2,2,5
86,3/25/2024,4,14,1,2,2,5
87,3/25/2024,4,15,1,2,2,5
88,3/25/2024,4,16,1,2,2,5
89,3/25/2024,4,13,2,2,2,6
90,3/25/2024,4,14,2,2,2,6
91,3/25/2024,4,15,2,2,2,6
92,3/25/2024,4,16,2,2,2,6
93,3/25/2024,4,13,3,2,2,7
94,3/25/2024,4,14,3,2,2,7
95,3/25/2024,4,15,3,2,2,7
96,3/25/2024,4,16,3,2,2,7
