time(s),current(A)
0,0
3.16E-30,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
14.6,0
14.7,0
14.8,0
14.9,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,0
15.6,0
15.7,0
15.8,0
15.9,0
16,0
16.1,0
16.2,0
16.3,0
16.4,0
16.5,0
16.6,0
16.7,0
16.8,0
16.9,0
17,0
17.1,0
17.2,0
17.3,0
17.4,0
17.5,0
17.6,0
17.7,0
17.8,0
17.9,0
18,0
18.1,0
18.2,0
18.3,0
18.4,0
18.5,0
18.6,0
18.7,0
18.8,0
18.9,0
19,0
19.1,0
19.2,0
19.3,0
19.4,0
19.5,0
19.6,0
19.7,0
19.8,0
19.9,0
20,0
20,6.42E-23
20,1.61E-15
20,2.55E-14
20,1.58E-13
20,5.38E-13
20,3.41E-12
20,2.99E-11
20,3.22E-10
20,2.73E-09
20,1.27E-08
20.001,4.24E-08
20.001,1.14E-07
20.001,2.63E-07
20.001,5.41E-07
20.001,1.02E-06
20.001,2.11E-06
20.001,4.48E-06
20.002,8.63E-06
20.002,1.71E-05
20.002,3.12E-05
20.002,6.11E-05
20.003,0.00012336
20.003,0.00022614
20.003,0.00044295
20.004,0.00090861
20.005,0.0019074
20.005,0.0040966
20.007,0.0091749
20.008,0.017828
20.009,0.031293
20.01,0.050896
20.011,0.078017
20.012,0.12375
20.014,0.20823
20.017,0.40396
20.019,0.69622
20.022,1.1
20.025,1.6257
20.028,2.2781
20.03,3.0567
20.034,4.1513
20.037,5.5729
20.041,7.1475
20.045,8.8216
20.048,10.535
20.052,12.305
20.056,13.982
20.06,15.505
20.064,16.826
20.068,17.909
20.072,18.896
20.078,19.555
20.084,19.623
20.09,19.191
20.095,18.541
20.1,17.712
20.105,16.777
20.11,15.802
20.115,14.844
20.12,13.945
20.125,13.138
20.131,12.265
20.139,11.494
20.147,11.032
20.155,10.866
20.162,10.962
20.17,11.28
20.178,11.771
20.185,12.38
20.193,13.05
20.201,13.727
20.209,14.362
20.216,14.916
20.226,15.448
20.238,15.876
20.249,16.068
20.261,16.087
20.273,16.015
20.285,15.931
20.296,15.893
20.308,15.937
20.323,16.12
20.338,16.419
20.353,16.786
20.354,16.807
20.354,16.807
20.36,16.941
20.366,17.047
20.373,17.145
20.382,17.241
20.396,17.346
20.417,17.5
20.438,17.703
20.459,17.989
20.485,18.433
20.5,18.714
20.522,19.092
20.548,19.497
20.584,19.995
20.621,20.483
20.657,20.999
20.702,21.66
20.761,22.526
20.82,23.37
20.915,24.715
21,25.93
21.005,25.98
21.011,25.985
21.016,25.946
21.022,25.877
21.033,25.706
21.043,25.535
21.054,25.415
21.065,25.377
21.08,25.476
21.098,25.79
21.117,26.218
21.136,26.651
21.154,27.012
21.173,27.281
21.2,27.569
21.227,27.831
21.254,28.144
21.281,28.519
21.321,29.103
21.36,29.661
21.399,30.178
21.464,31.012
21.5,31.495
21.559,32.304
21.651,33.542
21.751,34.88
21.851,36.221
21.951,37.567
22,38.225
22.003,38.245
22.006,38.223
22.009,38.155
22.012,38.047
22.018,37.782
22.027,37.197
22.036,36.547
22.045,35.946
22.055,35.474
22.064,35.176
22.077,35.067
22.09,35.264
22.103,35.671
22.116,36.174
22.128,36.669
22.141,37.078
22.154,37.366
22.174,37.598
22.194,37.67
22.213,37.71
22.233,37.812
22.253,38.012
22.284,38.446
22.314,38.912
22.345,39.316
22.376,39.652
22.42,40.111
22.463,40.609
22.5,41.059
22.564,41.83
22.641,42.738
22.741,43.904
22.841,45.085
22.941,46.268
23,46.962
23.003,47.023
23.006,47.134
23.009,47.3
23.012,47.516
23.017,47.986
23.027,48.993
23.036,50.095
23.046,51.143
23.055,52.024
23.065,52.674
23.078,53.175
23.091,53.261
23.105,53.073
23.118,52.776
23.131,52.514
23.144,52.384
23.161,52.454
23.183,52.849
23.205,53.411
23.227,53.944
23.249,54.339
23.275,54.644
23.301,54.872
23.328,55.135
23.354,55.479
23.397,56.119
23.439,56.751
23.482,57.323
23.5,57.552
23.548,58.169
23.619,59.149
23.719,60.523
23.819,61.878
23.919,63.232
24,64.33
24.005,64.348
24.011,64.273
24.016,64.113
24.022,63.89
24.033,63.347
24.044,62.808
24.055,62.397
24.069,62.163
24.087,62.287
24.105,62.762
24.123,63.376
24.141,63.936
24.159,64.332
24.182,64.601
24.205,64.724
24.228,64.847
24.251,65.06
24.282,65.489
24.321,66.092
24.36,66.64
24.399,67.109
24.46,67.845
24.5,68.346
24.566,69.21
24.661,70.44
24.761,71.71
24.861,72.989
24.961,74.275
25,74.773
25.003,74.775
25.006,74.707
25.009,74.56
25.012,74.342
25.017,73.838
25.027,72.675
25.036,71.387
25.046,70.191
25.055,69.244
25.065,68.631
25.078,68.353
25.092,68.649
25.105,69.318
25.119,70.133
25.132,70.89
25.145,71.46
25.162,71.84
25.183,71.93
25.204,71.809
25.225,71.727
25.246,71.821
25.272,72.164
25.298,72.62
25.323,73.041
25.349,73.358
25.389,73.728
25.428,74.092
25.468,74.531
25.5,74.923
25.557,75.59
25.632,76.424
