Cars,Energy_consumption(Wh/kms),Battery arrangement,Cells in series,Cells in parallel,Nominal voltage,Power coeff,Current coeff,Single cell volts.
Tesla Model 3,137,96s31p (Prismatic LFP),96,31,350,0.07408608744,0.02032075541,3.645833333
Hyundai IONIQ 6 Standard Range 2WD,148,144s2p,144,2,523,0.8270242559,0.2277083993,3.631944444
Tesla Model 3 Long Range Dual Motor,149,96s46p,96,46,357,0.05430079941,0.01460189564,3.71875
Hyundai IONIQ 6 Long Range 2WD,149,192s2p,192,2,697,0.6244591932,0.1720174535,3.630208333
Dacia Spring Electric 45,152,72s1p,72,1,240,3.397505051,1.019251515,3.333333333
Opel Corsa Electric 51 kWh,153,96s1p,96,1,355,2.564892794,0.6936048118,3.697916667
Renault Megane E-Tech EV40 130hp,154,96s2p,96,2,352,1.290828399,0.3520441089,3.666666667
Citroen e-C4 54 kWh,154,102s1p,102,1,377,2.429794634,0.6573980177,3.696078431
Citroen e-C4 X 54 kWh,154,102s1p,102,1,377,2.429794634,0.6573980177,3.696078431
Peugeot e-208 51 kWh,155,96s1p,96,1,355,2.598420804,0.7026715413,3.697916667
BMW i4 eDrive35,156,,,,353,#DIV/0!,#DIV/0!,#DIV/0!
Lucid Air Pure AWD,156,180s30p,180,30,798.6,0.04649217438,0.01047907762,4.436666667
Dacia Spring Electric 65 Extreme,156,72s1p,72,1,240,3.486913079,1.046073924,3.333333333
BMW i4 eDrive40,157,,,,399,#DIV/0!,#DIV/0!,#DIV/0!
Opel Corsa Electric 50 kWh,157,108s2p,108,2,400,1.169755029,0.3158338577,3.703703704
Mini Cooper E,157,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Fiat 500e Hatchback 24 kWh,158,108s1p,108,1,400,2.354411395,0.6356910767,3.703703704
Fiat 500e 3+1 24 kWh,158,96s2p,96,2,355,1.32435641,0.3581358178,3.697916667
Fiat 500e Cabrio 24 kWh,158,108s1p,108,1,400,2.354411395,0.6356910767,3.703703704
Renault Twingo Electric,158,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Renault Megane E-Tech EV60 130hp,158,96s3p,96,3,352,0.8829042731,0.2407920745,3.666666667
Renault Megane E-Tech EV60 220hp,158,96s3p,96,3,352,0.8829042731,0.2407920745,3.666666667
Mini Cooper SE,158,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lucid Air Touring,159,180s30p,180,30,798.6,0.04738625466,0.01068059835,4.436666667
Fiat 500e Hatchback 42 kWh,159,96s2p,96,2,355,1.332738412,0.3604025002,3.697916667
